#  L TT            EE            BB            TE            PP            PT            PE           
 115 3.1997235e+03 9.8104753e-01 4.3270996e-03 -3.3015610e+01 9.2988520e-08 3.0923268e-04 -9.6344846e-07
 116 3.2336237e+03 9.9211522e-01 4.4047735e-03 -3.3629183e+01 9.2420049e-08 3.0591354e-04 -9.7710763e-07
 117 3.2676430e+03 1.0028188e+00 4.4832443e-03 -3.4234825e+01 9.1855642e-08 3.0264105e-04 -9.9266875e-07
 118 3.3017658e+03 1.0131582e+00 4.5625171e-03 -3.4831928e+01 9.1295284e-08 2.9941561e-04 -1.0098213e-06
 119 3.3359913e+03 1.0231182e+00 4.6425972e-03 -3.5420035e+01 9.0739021e-08 2.9623762e-04 -1.0282552e-06
 120 3.3703115e+03 1.0326914e+00 4.7234896e-03 -3.5998537e+01 9.0186835e-08 2.9310734e-04 -1.0476597e-06
 121 3.4047181e+03 1.0418626e+00 4.8052000e-03 -3.6566827e+01 8.9638667e-08 2.9002508e-04 -1.0677246e-06
 122 3.4391955e+03 1.0506243e+00 4.8877339e-03 -3.7124448e+01 8.9094606e-08 2.8699130e-04 -1.0881401e-06
 123 3.4737430e+03 1.0589689e+00 4.9710968e-03 -3.7670792e+01 8.8554594e-08 2.8400631e-04 -1.1085964e-06
 124 3.5083524e+03 1.0668813e+00 5.0552947e-03 -3.8205251e+01 8.8018666e-08 2.8107036e-04 -1.1287831e-06
 125 3.5430081e+03 1.0743614e+00 5.1403334e-03 -3.8727369e+01 8.7486795e-08 2.7818392e-04 -1.1483911e-06
 126 3.5777094e+03 1.0813942e+00 5.2262191e-03 -3.9236612e+01 8.6958998e-08 2.7534723e-04 -1.1671105e-06
 127 3.6124406e+03 1.0879795e+00 5.3129578e-03 -3.9732373e+01 8.6435249e-08 2.7256065e-04 -1.1846317e-06
 128 3.6471937e+03 1.0941023e+00 5.4005560e-03 -4.0214196e+01 8.5915582e-08 2.6982458e-04 -1.2006457e-06
 129 3.6819678e+03 1.0997625e+00 5.4890199e-03 -4.0681547e+01 8.5399984e-08 2.6713932e-04 -1.2148429e-06
 130 3.7167473e+03 1.1049449e+00 5.5783561e-03 -4.1133820e+01 8.4888458e-08 2.6450525e-04 -1.2269144e-06
 131 3.7515170e+03 1.1096497e+00 5.6685711e-03 -4.1570561e+01 8.4380997e-08 2.6192231e-04 -1.2366216e-06
 132 3.7862846e+03 1.1138768e+00 5.7596717e-03 -4.1991256e+01 8.3877578e-08 2.5938924e-04 -1.2440104e-06
